Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 9.187230e-003, 701, 211, 2.604078, 4.546069, 2.486755, 3.778498, -8.715838
8.340503, 7.005178e-003, 387, 118, 3.132877, 5.514533, 2.761441, 3.881666, -7.404098
13.912798, 5.775065e-003, 255, 77, 3.547606, 5.951317, 3.051581, 3.871674, -5.672464
23.207947, 4.588437e-003, 150, 53, 4.039701, 6.290331, 3.322713, 4.137349, -3.965853
38.713192, 3.741502e-003, 92, 29, 5.262855, 7.127114, 3.898545, 4.972775, -2.096144
64.577499, 3.071484e-003, 63, 21, 5.078261, 7.445131, 3.936476, 4.544432, -2.294896
107.721756, 2.495183e-003, 38, 11, 6.386771, 7.097698, 4.135470, 3.188933, -0.525263
179.690720, 1.951733e-003, 27, 5, 6.352909, 6.529437, 4.605255, 5.492795, -0.076604
299.742218, 1.445366e-003, 17, 5, 6.094071, 4.418442, 4.676580, 2.345334, 0.763768
500.000183, 1.110601e-003, 11, 3, 5.156597, 7.280238, 4.639002, 2.721691, -0.744703
Optimum Threshold Value: 107.721756
